Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
OCO,2.0,SOFT,3.0,6.0,0 days 00:32:44.651000,,4,Q
OCO,3.0,SOFT,4.0,7.0,,0 days 00:39:44.808000,4,Q
OCO,3.0,SOFT,5.0,8.0,,,4,Q
OCO,3.0,SOFT,6.0,9.0,0 days 00:45:32.470000,,4,Q
OCO,4.0,SOFT,1.0,10.0,,0 days 00:48:40.884000,4,Q
OCO,4.0,SOFT,2.0,11.0,,,4,Q
OCO,4.0,SOFT,3.0,12.0,0 days 00:54:11.336000,,4,Q
STR,1.0,SOFT,1.0,1.0,,0 days 00:17:13.769000,4,Q
STR,1.0,SOFT,2.0,2.0,,,4,Q
STR,1.0,SOFT,3.0,3.0,0 days 00:22:56.064000,,4,Q
STR,2.0,SOFT,1.0,4.0,,0 days 00:26:34.997000,4,Q
STR,2.0,SOFT,2.0,5.0,,,4,Q
STR,2.0,SOFT,3.0,6.0,0 days 00:32:19.878000,,4,Q
GAS,1.0,SOFT,1.0,1.0,,0 days 00:17:52.824000,4,Q
GAS,1.0,SOFT,2.0,2.0,,,4,Q
GAS,1.0,SOFT,3.0,3.0,0 days 00:23:20.728000,,4,Q
GAS,2.0,SOFT,1.0,4.0,,0 days 00:26:19.301000,4,Q
GAS,2.0,SOFT,2.0,5.0,,,4,Q
GAS,2.0,SOFT,3.0,6.0,0 days 00:31:57.720000,,4,Q
MAG,1.0,SOFT,1.0,1.0,,0 days 00:12:10.296000,4,Q
MAG,1.0,SOFT,2.0,2.0,,,4,Q
MAG,1.0,SOFT,3.0,3.0,0 days 00:17:08.023000,,4,Q
MAG,2.0,SOFT,1.0,4.0,,0 days 00:19:40.576000,4,Q
MAG,2.0,SOFT,2.0,5.0,,,4,Q
MAG,2.0,SOFT,3.0,6.0,0 days 00:24:35.358000,,4,Q
MAG,3.0,SOFT,1.0,7.0,,0 days 00:26:26.073000,4,Q
MAG,3.0,SOFT,2.0,8.0,,,4,Q
MAG,3.0,SOFT,3.0,9.0,0 days 00:32:00.066000,,4,Q
SAR,1.0,SOFT,1.0,1.0,,0 days 00:15:49.431000,4,Q
SAR,1.0,SOFT,2.0,2.0,,,4,Q
SAR,1.0,SOFT,3.0,3.0,0 days 00:21:01.944000,,4,Q
SAR,2.0,SOFT,1.0,4.0,,0 days 00:23:47.198000,4,Q
SAR,2.0,SOFT,2.0,5.0,,,4,Q
SAR,2.0,SOFT,3.0,6.0,0 days 00:29:11.165000,,4,Q
ZHO,1.0,SOFT,1.0,1.0,,0 days 00:18:33.366000,4,Q
ZHO,1.0,SOFT,2.0,2.0,,,4,Q
ZHO,1.0,SOFT,3.0,3.0,0 days 00:24:00.417000,,4,Q
